id_namespace	local_id	persistent_id	creation_time	abbreviation	name	description	has_time_series_data
tag:sennetconsortium.org,2025:	SNT848.MZWZ.962	https://doi.org/10.35079/SNT848.MZWZ.962	2024-07-01 15:08:26.244		SNT848.MZWZ.962	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT223.CTDG.963	https://doi.org/10.35079/SNT223.CTDG.963	2024-07-01 15:08:34.647		SNT223.CTDG.963	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT246.PJQH.256	https://doi.org/10.35079/SNT246.PJQH.256	2024-07-01 15:08:57.716		SNT246.PJQH.256	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT397.JDNJ.429	https://doi.org/10.35079/SNT397.JDNJ.429	2024-07-01 15:05:50.231		SNT397.JDNJ.429	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT962.PFXC.892	https://doi.org/10.35079/SNT962.PFXC.892	2024-07-01 15:07:23.771		SNT962.PFXC.892	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT723.THJD.464	https://doi.org/10.35079/SNT723.THJD.464	2024-07-01 15:05:19.012		SNT723.THJD.464	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT649.VBHP.286	https://doi.org/10.35079/SNT649.VBHP.286	2024-07-01 15:10:56.112		SNT649.VBHP.286	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT857.DPMW.593	https://doi.org/10.35079/SNT857.DPMW.593	2024-07-01 15:11:11.080		SNT857.DPMW.593	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT257.BFKF.267	https://doi.org/10.35079/SNT257.BFKF.267	2024-07-01 15:11:19.470		SNT257.BFKF.267	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT357.MMCB.359	https://doi.org/10.35079/SNT357.MMCB.359	2024-07-01 15:45:04.439		SNT357.MMCB.359	LC-MS data from the lung (left) of a 55.0-year-old white male	
